location,cases,density_per_km
Colombia-Atlantico-Unknown,749,70.99121857
Colombia-Atlantico-Usiacuri,845,102.5489349
Colombia-Barranquilla,56964,9729.59375
Colombia-Barranquilla-Barranquilla,170942,9729.59375
Colombia-Bogota,16866,6356.598633
Colombia-Bogota-Barrios_Unidos_12_De_Octubre,0,6356.598633
Colombia-Bogota-Barrios_Unidos_Los_Andes,0,6356.598633
Colombia-Bogota-Bogota,6,6356.598633
"Colombia-Bogota-Bogota,_D.C.",179,70.99121857
Colombia-Bogota-Bosa_Bosa_Central,0,6356.599121
Colombia-Bogota-Bosa_Tintal_Sur,0,6356.599121
Colombia-Bogota-Chapinero_Chapinero,0,6356.598633
Colombia-Bogota-Chapinero_Chico_Lago,0,6356.598633
Colombia-Bogota-Ciudad_Bolivar_San_Francisco,0,6356.599121
Colombia-Bogota-Engativa_Engativa,0,6356.599121
Colombia-Bogota-Fontibon_Fontibon,0,6356.598633
Colombia-Bogota-Kennedy_Americas,0,6356.598633
Colombia-Bogota-Kennedy_Kennedy_Central,0,6356.598633
Colombia-Bogota-La_Candelaria_La_Candelaria,0,6356.598633
Colombia-Bogota-Puente_Aranda_San_Rafael,0,6356.598633
Colombia-Bogota-San_Cristobal_Sociego,0,6356.598633
Colombia-Bogota-Teusaquillo_Ciudad_Salitre_Oriental,0,6356.599609
Colombia-Bogota-Teusaquillo_La_Esmeralda,0,6356.598633
Colombia-Bogota-Teusaquillo_Quinta_Paredes,0,6356.599121
Colombia-Bogota-Teusaquillo_Teusaquillo,0,6356.599121
Colombia-Bogota-Tunjuelito_Tunjuelito,0,6356.598633
Colombia-Bogota-Tunjuelito_Venecia,0,6356.598633
Colombia-Bogota-Usaquen_Los_Cedros,0,6356.598633
Colombia-Bogota-Usaquen_Santa_Barbara,0,6356.598633
Colombia-Bolivar,4991,31.51944923
Colombia-Bolivar-Achi,412,44.79246521
Colombia-Bolivar-Altos_Del_Rosario,0,65.420578
Colombia-Bolivar-Arenal,1709,57.6271286
Colombia-Bolivar-Arjona,924,174.3042908
Colombia-Bolivar-Arroyohondo,64,75.13993835
Colombia-Bolivar-Barranco_De_Loba,345,72.04428101
Colombia-Bolivar-Calamar,104,103.3013763
Colombia-Bolivar-Cantagallo,685,17.00729942
Colombia-Bolivar-Cicuco,337,149.9249573
Colombia-Bolivar-Clemencia,83,184.3361206
Colombia-Bolivar-Cordoba,867,73.65008545
Colombia-Bolivar-El_Carmen_De_Bolivar,811,80.45402527
Colombia-Bolivar-El_Guamo,76,75.12352753
Colombia-Bolivar-El_Penon,230,141.2722626
Colombia-Bolivar-Hatillo_De_Loba,0,81.24399567
Colombia-Bolivar-Magangue,2264,172.1948242
Colombia-Bolivar-Mahates,1492,82.85823822
Colombia-Bolivar-Margarita,35,104.0878754
Colombia-Bolivar-Maria_La_Baja,111,125.7626038
Colombia-Bolivar-Mompos,1850,77.58861542
Colombia-Bolivar-Montecristo,770,16.49569321
Colombia-Bolivar-Morales,406,61.24256134
